id,pro,cho,fat,n,age,hg,hgsd,wg,wgsd,bmi,bmisd,h,hsd,w,wsd
16th,hp,,,51,3,1.20 ,0.00 ,32.2 ,1.1 ,16.53 ,0.08 ,600 ,6 ,5951 ,204 
17th,hm,hm,hm,67,0,,,,,,,,,3415 ,339 
17th,hm,hm,hm,65,4,,,24.7 ,3.6 ,15.78 ,,636 ,21 ,6381 ,771 
17th,hm,hm,hm,65,6,,,22.0 ,2.9 ,16.32 ,,672 ,23 ,7369 ,861 
17th,lp,mc,mf,90,0,,,,,,,,,3422 ,371 
17th,lp,mc,mf,88,4,,,26.9 ,2.2 ,16.40 ,,637 ,20 ,6655 ,632 
17th,lp,mc,mf,88,6,,,24.0 ,2.4 ,16.78 ,,679 ,21 ,7738 ,809 
17th,mp,mc,mf,88,0,,,,,,,,,3429 ,391 
17th,mp,mc,mf,85,4,,,27.3 ,2.0 ,16.47 ,,638 ,21 ,6706 ,636 
17th,mp,mc,mf,82,6,,,24.8 ,2.1 ,16.89 ,,684 ,22 ,7900 ,771 
18th,hm,hm,hm,58,0,,,,,12.00 ,,528 ,27 ,3346 ,329 
18th,hm,hm,hm,55,1,0.47 ,0.10 ,26.8 ,1.9 ,14.12 ,,542 ,24 ,4149 ,387 
18th,hm,hm,hm,53,2,0.73 ,0.05 ,28.8 ,2.6 ,15.50 ,,572 ,24 ,5071 ,485 
18th,hm,hm,hm,51,3,0.81 ,0.01 ,27.6 ,2.7 ,16.14 ,,601 ,26 ,5829 ,569 
18th,hm,hm,hm,50,4,0.85 ,0.00 ,26.7 ,2.6 ,16.50 ,,630 ,27 ,6548 ,640 
18th,mp,mc,mf,196,0,,,,,11.98 ,0.04 ,529 ,30 ,3355 ,353 
18th,mp,mc,mf,186,1,0.61 ,0.23 ,29.5 ,2.2 ,14.15 ,0.16 ,548 ,23 ,4241 ,416 
18th,mp,mc,mf,173,2,0.79 ,0.12 ,30.8 ,2.8 ,15.65 ,0.05 ,577 ,23 ,5204 ,515 
18th,mp,mc,mf,168,3,0.84 ,0.07 ,30.0 ,2.8 ,16.57 ,0.02 ,605 ,24 ,6057 ,604 
18th,mp,mc,mf,166,4,0.88 ,0.06 ,29.4 ,3.0 ,17.12 ,0.03 ,634 ,23 ,6881 ,712 
19th,hm,hm,hm,26,0,,,,,12.42 ,,500 ,17 ,3105 ,381 
19th,hm,hm,hm,26,1,1.56 ,0.15 ,41.5 ,9.7 ,14.38 ,,542 ,21 ,4225 ,642 
19th,hm,hm,hm,26,3,1.30 ,0.10 ,34.2 ,5.8 ,16.19 ,,613 ,26 ,6082 ,885 
19th,mp,mc,mf,52,0,,,,,12.45 ,,493 ,16 ,3026 ,327 
19th,mp,mc,mf,52,1,1.37 ,0.15 ,41.1 ,5.4 ,14.72 ,,530 ,20 ,4136 ,471 
19th,mp,mc,mf,52,3,1.24 ,0.03 ,33.2 ,3.8 ,16.39 ,,601 ,21 ,5910 ,657 
20th,hm,hm,hm,36,0,,,,,,,,,3400 ,284 
20th,hm,hm,hm,36,4,,,24.2 ,4.1 ,15.69 ,,634 ,23 ,6307 ,774 
20th,hm,hm,hm,36,6,,,21.3 ,3.0 ,16.13 ,,670 ,25 ,7241 ,827 
20th,lp,,,53,0,,,,,,,,,3418 ,366 
20th,lp,,,53,4,,,26.9 ,2.4 ,16.28 ,,639 ,20 ,6647 ,648 
20th,lp,,,53,6,,,23.8 ,2.4 ,16.64 ,,680 ,22 ,7694 ,804 
20th,mp,,,45,0,,,,,,,,,3402 ,437 
20th,mp,,,45,4,,,26.8 ,1.7 ,16.27 ,,638 ,21 ,6621 ,644 
20th,mp,,,44,6,,,24.3 ,1.8 ,16.66 ,,683 ,24 ,7770 ,753 
